,Unnamed: 0,User,Text,Date,Favorites,Retweets,Mentions,HashTags,docs,streets,highways,exits,markers,road_closed
248,4742,TotalTrafficHOU,Closed to remove a down electrical line. in #Orange on I-10 WB between FM-105/Exit 861A and US-90/Exit 855 #traffic http://bit.ly/17hsIjn,2020-08-27 17:50:43+00:00,0,0,,#Orange #traffic,closed to remove a down electrical line. in #orange on i-10 wb between fm-105/exit 861a and us-90/exit 855 #traffic http://bit.ly/17hsijn,[],"['i-10', 'us-90']",['exit 855'],[],1.0
249,4762,TotalTrafficHOU,Closed due to accident in #SeSide on E SAM HOUSTON TOLLWAY SB before Spencer Hwy and Pasadena Blvd/Red Bluff Rd #traffic http://bit.ly/17hsIjn,2020-08-27 17:30:44+00:00,0,0,,#SeSide #traffic,closed due to accident in #seside on e sam houston tollway sb before spencer hwy and pasadena blvd/red bluff rd #traffic http://bit.ly/17hsijn,"['spencer hwy', 'pasadena blvd', 'bluff rd']",[],[],[],1.0
251,4791,TotalTrafficHOU,All lanes closed in #Orange on I-10 EB between FM-1442/Exit 869 and FM-1136/Exit 870 #traffic http://bit.ly/17hsIjn,2020-08-27 17:05:43+00:00,0,0,,#Orange #traffic,all lanes closed in #orange on i-10 eb between fm-1442/exit 869 and fm-1136/exit 870 #traffic http://bit.ly/17hsijn,[],['i-10'],"['exit 869', 'exit 870']",[],1.0
252,4808,TotalTrafficBTR,Closed due to vehicle recovery in #Ascension on I 10 WB after LA-30/Gonzales/St. Gabriel/Exit 177 and LA-73/Old Jefferson Hwy/Prairieville/Geismar/Exit 173 #traffic http://bit.ly/12oyfoo,2020-08-27 16:50:43+00:00,0,0,,#Ascension #traffic,closed due to vehicle recovery in #ascension on i 10 wb after la-30/gonzales/st. gabriel/exit 177 and la-73/old jefferson hwy/prairieville/geismar/exit 173 #traffic http://bit.ly/12oyfoo,['jefferson hwy'],[],"['exit 177', 'exit 173']",[],1.0
254,4889,TotalTrafficHOU,Closed due to high water in #Galveston on Harborside Dr EB between 25th St/Rosenberg St and 14th St/Christopher Columbus Blvd #traffic http://bit.ly/17hsIjn,2020-08-27 16:00:43+00:00,1,0,,#Galveston #traffic,closed due to high water in #galveston on harborside dr eb between 25th st/rosenberg st and 14th st/christopher columbus blvd #traffic http://bit.ly/17hsijn,"['25th st', 'rosenberg st', '14th st', 'columbus blvd']",[],[],[],1.0
255,4898,iembot_shv,"At 10:40 AM CDT, 10 W Powhatan [Natchitoches Co, LA] DEPT OF HIGHWAYS reports TROPICAL STORM. I-49 CLOSED PAST LA 174 DUE TO FALLEN TREE ON INTERSTATE AT MM 154. https://mesonet.agron.iastate.edu/lsr/#SHV/202008271540/202008271540",2020-08-27 15:47:23+00:00,0,0,,,"at 10:40 am cdt, 10 w powhatan [natchitoches co, la] dept of highways reports tropical storm. i-49 closed past la 174 due to fallen tree on interstate at mm 154. https://mesonet.agron.iastate.edu/lsr/#shv/202008271540/202008271540",[],"['i-49', 'la 174']",[],[],1.0
256,4899,BHollandSports,BATON ROUGE TRAFFIC: Highland Road impassable both directions starting at Woodbridge Blvd (close to Superior Grill) &amp; no neighborhood outlet Take Perkins or Burbank as an alternate route @BRProudNews @LSUCheckpoint #HurricanLaura,2020-08-27 15:45:08+00:00,29,18,@BRProudNews @LSUCheckpoint,#HurricanLaura,baton rouge traffic: highland road impassable both directions starting at woodbridge blvd (close to superior grill) &amp; no neighborhood outlet take perkins or burbank as an alternate route @brproudnews @lsucheckpoint #hurricanlaura,"['highland road', 'woodbridge blvd']",[],[],[],1.0
257,4903,iembot_shv,"At 10:17 AM CDT, Shreveport, LA [Caddo Co, LA] LAW ENFORCEMENT reports TROPICAL STORM. ROADS CLOSED DUE TO TREE DAMAGE: 500 MCCORMICK STREET 100 NORTHWESTERN 3700 DILLINGHAM AVENUE 700 EVANGELINE PLACE 6100 LINE AVENUE 1800 LAUREL STREET W73RD @DOWDE... https://mesonet.agron.iastate.edu/lsr/#SHV/202008271517/202008271517",2020-08-27 15:42:51+00:00,1,1,,,"at 10:17 am cdt, shreveport, la [caddo co, la] law enforcement reports tropical storm. roads closed due to tree damage: 500 mccormick street 100 northwestern 3700 dillingham avenue 700 evangeline place 6100 line avenue 1800 laurel street w73rd @dowde... https://mesonet.agron.iastate.edu/lsr/#shv/202008271517/202008271517","['mccormick street', 'dillingham avenue', 'evangeline place', 'line avenue', 'laurel street']",[],[],[],1.0
258,4924,TotalTrafficHOU,Closed for a short period of time to removed a down electrical line. in #Orange on I-10 WB between FM-105/Exit 861A and US-90/Exit 855 #traffic http://bit.ly/17hsIjn,2020-08-27 15:30:44+00:00,0,0,,#Orange #traffic,closed for a short period of time to removed a down electrical line. in #orange on i-10 wb between fm-105/exit 861a and us-90/exit 855 #traffic http://bit.ly/17hsijn,[],"['i-10', 'us-90']",['exit 855'],[],1.0
259,4925,TotalTrafficHOU,Closed for a short period of time to removed a down electrical line. in #Jefferson on I-10 EB between US-90/Exit 855 and FM-105/Exit 861A #traffic http://bit.ly/17hsIjn,2020-08-27 15:30:43+00:00,0,0,,#Jefferson #traffic,closed for a short period of time to removed a down electrical line. in #jefferson on i-10 eb between us-90/exit 855 and fm-105/exit 861a #traffic http://bit.ly/17hsijn,[],"['i-10', 'us-90']",['exit 855'],[],1.0
260,4926,TotalTrafficBTR,Closed for vehicle removal in #Ascension on I 10 WB after LA-30/Gonzales/St. Gabriel/Exit 177 and LA-73/Old Jefferson Hwy/Prairieville/Geismar/Exit 173 #traffic http://bit.ly/12oyfoo,2020-08-27 15:30:43+00:00,1,0,,#Ascension #traffic,closed for vehicle removal in #ascension on i 10 wb after la-30/gonzales/st. gabriel/exit 177 and la-73/old jefferson hwy/prairieville/geismar/exit 173 #traffic http://bit.ly/12oyfoo,['jefferson hwy'],[],"['exit 177', 'exit 173']",[],1.0
261,5033,TotalTrafficHOU,Closed due to high water in #Galveston on Harborside Dr EB between 25th St/Rosenberg St and 14th St/Christopher Columbus Blvd #traffic http://bit.ly/17hsIjn,2020-08-27 14:30:44+00:00,0,0,,#Galveston #traffic,closed due to high water in #galveston on harborside dr eb between 25th st/rosenberg st and 14th st/christopher columbus blvd #traffic http://bit.ly/17hsijn,"['25th st', 'rosenberg st', '14th st', 'columbus blvd']",[],[],[],1.0
262,5034,TotalTrafficHOU,All lanes closed in #Orange on I-10 EB between FM-1442/Exit 869 and FM-1136/Exit 870 #traffic http://bit.ly/17hsIjn,2020-08-27 14:30:43+00:00,0,0,,#Orange #traffic,all lanes closed in #orange on i-10 eb between fm-1442/exit 869 and fm-1136/exit 870 #traffic http://bit.ly/17hsijn,[],['i-10'],"['exit 869', 'exit 870']",[],1.0
265,5281,TotalTrafficBTR,Closed due to downed tree in #WestBatonRouge on I 10 WB after LA-415/Lobdell/Exit 151 and before LA-77/Rosedale/Grosse Tete/Exit 139 #traffic http://bit.ly/12oyfoo,2020-08-27 11:05:43+00:00,1,0,,#WestBatonRouge #traffic,closed due to downed tree in #westbatonrouge on i 10 wb after la-415/lobdell/exit 151 and before la-77/rosedale/grosse tete/exit 139 #traffic http://bit.ly/12oyfoo,[],[],"['exit 151', 'exit 139']",[],1.0
266,5300,TotalTrafficHOU,All lanes closed in #Orange on I-10 EB between FM-1442/Exit 869 and FM-1136/Exit 870 #traffic http://bit.ly/17hsIjn,2020-08-27 10:25:43+00:00,0,1,,#Orange #traffic,all lanes closed in #orange on i-10 eb between fm-1442/exit 869 and fm-1136/exit 870 #traffic http://bit.ly/17hsijn,[],['i-10'],"['exit 869', 'exit 870']",[],1.0
271,5714,TotalTrafficHOU,Closed due to high water in #Galveston on Harborside Dr EB between 25th St/Rosenberg St and 14th St/Christopher Columbus Blvd #traffic http://bit.ly/17hsIjn,2020-08-27 04:00:43+00:00,0,0,,#Galveston #traffic,closed due to high water in #galveston on harborside dr eb between 25th st/rosenberg st and 14th st/christopher columbus blvd #traffic http://bit.ly/17hsijn,"['25th st', 'rosenberg st', '14th st', 'columbus blvd']",[],[],[],1.0
272,5821,TotalTrafficHOU,All lanes closed in #Orange on I-10 EB at FM-1136/Exit 870 #traffic http://bit.ly/17hsIjn,2020-08-27 03:10:43+00:00,0,0,,#Orange #traffic,all lanes closed in #orange on i-10 eb at fm-1136/exit 870 #traffic http://bit.ly/17hsijn,[],['i-10'],['exit 870'],[],1.0
273,5930,twirlygirltx,"I-10 closed in both directions now. No way out for those who chose to stay. Can only hope they are able to get to high ground, or brought an ax to their attic with them, so they can get on their roof to be rescued ",2020-08-27 02:10:45+00:00,1,1,,,"i-10 closed in both directions now. no way out for those who chose to stay. can only hope they are able to get to high ground, or brought an ax to their attic with them, so they can get on their roof to be rescued ",[],['i-10'],[],[],1.0
274,5947,CarlyLaing1,Parts of I-10 are now closed as we wait for the arrival of #HurricaneLaura I-10 eastbound is closed at the Texas/Louisiana line ,2020-08-27 01:58:37+00:00,0,0,,#HurricaneLaura,parts of i-10 are now closed as we wait for the arrival of #hurricanelaura i-10 eastbound is closed at the texas/louisiana line ,[],"['i-10', 'i-10']",[],[],1.0
292,7148,TotalTrafficHOU,"Closed due to accident in #NorthSide on I-45 N Fwy NB between Cypresswood and Louetta, stopped traffic back to Paramatta/Hollow Tree Ln #traffic http://bit.ly/17hsIjn",2020-08-26 15:55:43+00:00,0,0,,#NorthSide #traffic,"closed due to accident in #northside on i-45 n fwy nb between cypresswood and louetta, stopped traffic back to paramatta/hollow tree ln #traffic http://bit.ly/17hsijn",[],['i-45'],[],[],1.0
327,9802,Laf_Traffic,The left lane is blocked on I-10 West at Mile Marker 109 (Breaux Bridge) due to an accident. Congestion is approximately 1 mile in length.,2020-08-31 23:54:46+00:00,0,0,,,the left lane is blocked on i-10 west at mile marker 109 (breaux bridge) due to an accident. congestion is approximately 1 mile in length.,['left lane'],['i-10'],[],['mile marker 109'],1.0
328,9805,Shreveport_Traf,All lanes are open on I-220 West at North Market Street. Congestion is minimal.,2020-08-31 23:54:26+00:00,0,0,,,all lanes are open on i-220 west at north market street. congestion is minimal.,['market street'],['i-220'],[],[],1.0
331,9822,TotalTrafficHOU,"Vehicle fire cleared in #Sharpstown on I-69 SW Fwy Outbound at Bellaire Boulevard, stop and go traffic back to Fountain View #traffic http://bit.ly/17hsIjn",2020-08-31 23:30:44+00:00,0,0,,#Sharpstown #traffic,"vehicle fire cleared in #sharpstown on i-69 sw fwy outbound at bellaire boulevard, stop and go traffic back to fountain view #traffic http://bit.ly/17hsijn",['bellaire boulevard'],['i-69'],[],[],1.0
333,9829,us59sw_traffic,IH-69 SOUTHWEST Southbound At BELLAIRE BLVD - Vehicle Fire - Status: Cleared at 6:26 PM,2020-08-31 23:27:14+00:00,1,0,,,ih-69 southwest southbound at bellaire blvd - vehicle fire - status: cleared at 6:26 pm,['bellaire blvd'],[],[],[],1.0
334,9831,TotalTrafficHOU,"Heavy truck accident on exit ramp in #Downtown on I-69 Downtown (Eastex Elevated) NB at I-10, stop and go traffic back to The George R Brown #traffic http://bit.ly/17hsIjn",2020-08-31 23:25:43+00:00,0,0,,#Downtown #traffic,"heavy truck accident on exit ramp in #downtown on i-69 downtown (eastex elevated) nb at i-10, stop and go traffic back to the george r brown #traffic http://bit.ly/17hsijn",[],"['i-69', 'i-10']",[],[],1.0
335,9842,TotalTrafficHOU,"Disabled vehicle, left lane blocked in #SouthSide on Hwy 288 NB at Yellowstone #traffic http://bit.ly/17hsIjn",2020-08-31 23:15:44+00:00,0,0,,#SouthSide #traffic,"disabled vehicle, left lane blocked in #southside on hwy 288 nb at yellowstone #traffic http://bit.ly/17hsijn",[],['hwy 288'],[],[],1.0
336,9843,TotalTrafficHOU,"Heavy truck accident on exit ramp in #Downtown on US-69 NB at I-10, stop and go traffic back to The George R Brown #traffic http://bit.ly/17hsIjn",2020-08-31 23:15:44+00:00,0,0,,#Downtown #traffic,"heavy truck accident on exit ramp in #downtown on us-69 nb at i-10, stop and go traffic back to the george r brown #traffic http://bit.ly/17hsijn",[],"['us-69', 'i-10']",[],[],1.0
339,9852,TotalTrafficAUS,"Accident, left lane blocked in #Travis on I-35 NB approaching Cesar Chavez St/Exit 234, stop and go traffic back to Woodland Ave #ATXtraffic http://bit.ly/10BGKax",2020-08-31 23:05:43+00:00,0,0,,#Travis #ATXtraffic,"accident, left lane blocked in #travis on i-35 nb approaching cesar chavez st/exit 234, stop and go traffic back to woodland ave #atxtraffic http://bit.ly/10bgkax","['chavez st', 'woodland ave']",['i-35'],['exit 234'],[],1.0
340,9854,Shreveport_Traf,The left lane remains blocked on I-220 West at North Market Street. Congestion has reached less than one mile in length.,2020-08-31 23:04:47+00:00,0,0,,,the left lane remains blocked on i-220 west at north market street. congestion has reached less than one mile in length.,"['left lane', 'market street']",['i-220'],[],[],1.0
344,9870,NOLA_Traffic,All lanes are open on US 90B West past MacArthur Avenue. Congestion is minimal.,2020-08-31 22:51:36+00:00,0,0,,,all lanes are open on us 90b west past macarthur avenue. congestion is minimal.,['macarthur avenue'],[],[],[],1.0
346,9895,TotalTrafficHOU,"Vehicle fire. two left lanes blocked in #Sharpstown on I-69 SW Fwy Outbound at Bellaire Boulevard, stop and go traffic back to Fountain View #traffic http://bit.ly/17hsIjn",2020-08-31 22:40:43+00:00,0,0,,#Sharpstown #traffic,"vehicle fire. two left lanes blocked in #sharpstown on i-69 sw fwy outbound at bellaire boulevard, stop and go traffic back to fountain view #traffic http://bit.ly/17hsijn",['bellaire boulevard'],['i-69'],[],[],1.0
348,9902,TotalTrafficHOU,"Accident. three left lanes blocked in #SouthSide on Hwy 288 NB at Yellowstone, stop and go traffic back to The S Lp #traffic http://bit.ly/17hsIjn",2020-08-31 22:35:43+00:00,0,0,,#SouthSide #traffic,"accident. three left lanes blocked in #southside on hwy 288 nb at yellowstone, stop and go traffic back to the s lp #traffic http://bit.ly/17hsijn",[],['hwy 288'],[],[],1.0
350,9910,us59sw_traffic,"IH-69 SOUTHWEST Southbound At BELLAIRE BLVD - Vehicle Fire - Status: Verified at 5:28 PM - Lanes Affected: 2 Mainlane(s), 1 Shoulder Lane(s)",2020-08-31 22:30:14+00:00,0,0,,,"ih-69 southwest southbound at bellaire blvd - vehicle fire - status: verified at 5:28 pm - lanes affected: 2 mainlane(s), 1 shoulder lane(s)",['bellaire blvd'],[],[],[],1.0
351,9911,NOLA_Traffic,The right lane is blocked on US 90B West past MacArthur Avenue due to a disabled vehicle. Congestion is minimal.,2020-08-31 22:30:09+00:00,0,1,,,the right lane is blocked on us 90b west past macarthur avenue due to a disabled vehicle. congestion is minimal.,"['right lane', 'macarthur avenue']",[],[],[],1.0
352,9927,Laf_Traffic,All lanes are now open on I-10 East at Mile Marker 101 (past LA 182) due to a disabled semi. Congestion is approximately 4 miles in length.,2020-08-31 22:21:36+00:00,0,0,,,all lanes are now open on i-10 east at mile marker 101 (past la 182) due to a disabled semi. congestion is approximately 4 miles in length.,[],"['i-10', 'la 182']",[],['mile marker 101'],1.0
357,9941,Laf_Traffic,The left lane is blocked on I-10 East at Mile Marker 101 (past LA 182) due to a disabled semi. Congestion is approximately 3 miles in length.,2020-08-31 22:12:57+00:00,0,0,,,the left lane is blocked on i-10 east at mile marker 101 (past la 182) due to a disabled semi. congestion is approximately 3 miles in length.,['left lane'],"['i-10', 'la 182']",[],['mile marker 101'],1.0
358,9944,BTRtraffic,RT BR_Traffic All lanes are open on I-10 East at Mile Marker 165 (past Siegen Lane). Congestion has reached Bluebonnet Boulevard.,2020-08-31 22:12:50+00:00,0,0,,,rt br_traffic all lanes are open on i-10 east at mile marker 165 (past siegen lane). congestion has reached bluebonnet boulevard.,"['siegen lane', 'bluebonnet boulevard']",['i-10'],[],['mile marker 165'],1.0
359,9948,BR_Traffic,All lanes are open on I-10 East at Mile Marker 165 (past Siegen Lane). Congestion has reached Bluebonnet Boulevard.,2020-08-31 22:09:31+00:00,0,1,,,all lanes are open on i-10 east at mile marker 165 (past siegen lane). congestion has reached bluebonnet boulevard.,"['siegen lane', 'bluebonnet boulevard']",['i-10'],[],['mile marker 165'],1.0
361,9954,k99_fm,"5pm.. All lanes remain blocked due to an accident, I-10 West before US 49 N / Hattiesburg Exit 34B in #Gulfport",2020-08-31 22:05:54+00:00,0,0,,#Gulfport,"5pm.. all lanes remain blocked due to an accident, i-10 west before us 49 n / hattiesburg exit 34b in #gulfport",[],"['i-10', 'us 49']",[],[],1.0
364,9958,TotalTrafficHOU,"Heavy truck accident on exit ramp in #Downtown on I-69 Downtown (Eastex Elevated) NB at I-10, stop and go traffic back to I-45 #traffic http://bit.ly/17hsIjn",2020-08-31 22:00:43+00:00,0,0,,#Downtown #traffic,"heavy truck accident on exit ramp in #downtown on i-69 downtown (eastex elevated) nb at i-10, stop and go traffic back to i-45 #traffic http://bit.ly/17hsijn",[],"['i-69', 'i-10', 'i-45']",[],[],1.0
365,9963,BTRtraffic,RT BR_Traffic Congestion on I-10 West from Mile Marker 140 to Mile Marker 139 (Grosse Tete) has cleared.,2020-08-31 21:57:24+00:00,0,0,,,rt br_traffic congestion on i-10 west from mile marker 140 to mile marker 139 (grosse tete) has cleared.,[],['i-10'],[],"['mile marker 140', 'mile marker 139']",1.0
366,9969,TotalTrafficHOU,"Accident cleared in #Channelview on I-10 Baytown E Fwy EB before Uvalde/Market, stop and go traffic back to Normandy #traffic http://bit.ly/17hsIjn",2020-08-31 21:55:43+00:00,0,0,,#Channelview #traffic,"accident cleared in #channelview on i-10 baytown e fwy eb before uvalde/market, stop and go traffic back to normandy #traffic http://bit.ly/17hsijn",[],['i-10'],[],[],1.0
367,9970,TotalTrafficHOU,"Heavy truck accident on exit ramp in #Downtown on US-69 NB at I-10, stop and go traffic back to I-45 #traffic http://bit.ly/17hsIjn",2020-08-31 21:55:43+00:00,0,0,,#Downtown #traffic,"heavy truck accident on exit ramp in #downtown on us-69 nb at i-10, stop and go traffic back to i-45 #traffic http://bit.ly/17hsijn",[],"['us-69', 'i-10', 'i-45']",[],[],1.0
368,9973,BR_Traffic,Congestion on I-10 West from Mile Marker 140 to Mile Marker 139 (Grosse Tete) has cleared.,2020-08-31 21:52:24+00:00,0,1,,,congestion on i-10 west from mile marker 140 to mile marker 139 (grosse tete) has cleared.,[],['i-10'],[],"['mile marker 140', 'mile marker 139']",1.0
370,9982,TotalTrafficHOU,"Heavy truck accident on ramp in #Downtown on I-69 Downtown (Eastex Elevated) NB at I-10, stop and go traffic back to Shepherd / Greenbriar #traffic http://bit.ly/17hsIjn",2020-08-31 21:45:44+00:00,0,0,,#Downtown #traffic,"heavy truck accident on ramp in #downtown on i-69 downtown (eastex elevated) nb at i-10, stop and go traffic back to shepherd / greenbriar #traffic http://bit.ly/17hsijn",[],"['i-69', 'i-10']",[],[],1.0
372,9987,Shreveport_Traf,The left lane is blocked on I-220 West at North Market Street due to an accident. Congestion is minimal at this time.,2020-08-31 21:43:35+00:00,0,1,,,the left lane is blocked on i-220 west at north market street due to an accident. congestion is minimal at this time.,"['left lane', 'market street']",['i-220'],[],[],1.0
374,9994,danawbrz,TRAFFIC ALERT: Accident on I-10 west near Grosse Tete (MM 140 to MM 139) Congestion is about 2 miles in length ,2020-08-31 21:41:38+00:00,1,0,,,traffic alert: accident on i-10 west near grosse tete (mm 140 to mm 139) congestion is about 2 miles in length ,[],['i-10'],[],[],1.0
375,9998,BTRtraffic,RT BR_Traffic There is congestion on I-10 West from Mile Marker 140 to Mile Marker 139 (Grosse Tete) due to an accident in the area. Use caution.,2020-08-31 21:37:24+00:00,0,0,,,rt br_traffic there is congestion on i-10 west from mile marker 140 to mile marker 139 (grosse tete) due to an accident in the area. use caution.,[],['i-10'],[],"['mile marker 140', 'mile marker 139']",1.0
377,10001,BR_Traffic,There is congestion on I-10 West from Mile Marker 140 to Mile Marker 139 (Grosse Tete) due to an accident in the area. Use caution.,2020-08-31 21:33:15+00:00,0,1,,,there is congestion on i-10 west from mile marker 140 to mile marker 139 (grosse tete) due to an accident in the area. use caution.,[],['i-10'],[],"['mile marker 140', 'mile marker 139']",1.0
378,10003,BTRtraffic,RT BR_Traffic The right lane remains blocked on I-10 East at Mile Marker 165 (past Siegen Lane) due to a stalled vehicle. Congestion is approaching Bluebonnet Boulevard.,2020-08-31 21:32:33+00:00,0,0,,,rt br_traffic the right lane remains blocked on i-10 east at mile marker 165 (past siegen lane) due to a stalled vehicle. congestion is approaching bluebonnet boulevard.,"['right lane', 'siegen lane', 'bluebonnet boulevard']",['i-10'],[],['mile marker 165'],1.0
379,10007,BR_Traffic,The right lane remains blocked on I-10 East at Mile Marker 165 (past Siegen Lane) due to a stalled vehicle. Congestion is approaching Bluebonnet Boulevard.,2020-08-31 21:32:22+00:00,1,1,,,the right lane remains blocked on i-10 east at mile marker 165 (past siegen lane) due to a stalled vehicle. congestion is approaching bluebonnet boulevard.,"['right lane', 'siegen lane', 'bluebonnet boulevard']",['i-10'],[],['mile marker 165'],1.0
380,10010,TotalTrafficHOU,"Accident cleared in #Heights on I-10 Katy Fwy EB at Studemont, stop and go traffic back to Shepherd #traffic http://bit.ly/17hsIjn",2020-08-31 21:30:43+00:00,0,0,,#Heights #traffic,"accident cleared in #heights on i-10 katy fwy eb at studemont, stop and go traffic back to shepherd #traffic http://bit.ly/17hsijn",[],['i-10'],[],[],1.0
381,10018,TotalTrafficHOU,"Accident, left lane blocked in #Channelview on I-10 Baytown E Fwy EB before Uvalde/Market, stop and go traffic back to Normandy #traffic http://bit.ly/17hsIjn",2020-08-31 21:25:43+00:00,0,0,,#Channelview #traffic,"accident, left lane blocked in #channelview on i-10 baytown e fwy eb before uvalde/market, stop and go traffic back to normandy #traffic http://bit.ly/17hsijn",[],['i-10'],[],[],1.0
382,10019,TotalTrafficSAT,"Accident cleared in #NewBraunfels on I-35 (Northeast Side) NB at Solms Rd/Exit 183, stop and go traffic back to Engel Rd/Exit 182 #traffic http://bit.ly/17hwv06",2020-08-31 21:25:43+00:00,0,0,,#NewBraunfels #traffic,"accident cleared in #newbraunfels on i-35 (northeast side) nb at solms rd/exit 183, stop and go traffic back to engel rd/exit 182 #traffic http://bit.ly/17hwv06","['solms rd', 'engel rd']",['i-35'],"['exit 183', 'exit 182']",[],1.0
385,10025,TotalTrafficHOU,"Disabled vehicle, center lane blocked in #NorthSide on N Sam Houston Pkwy WB at Veterans Memorial Toll Plz #traffic http://bit.ly/17hsIjn",2020-08-31 21:20:43+00:00,0,0,,#NorthSide #traffic,"disabled vehicle, center lane blocked in #northside on n sam houston pkwy wb at veterans memorial toll plz #traffic http://bit.ly/17hsijn","['center lane', 'houston pkwy']",[],[],[],1.0
387,10036,TotalTrafficHOU,"Fire department activity. right lane blocked in #NorthSide on 610 WB at Hirsch, stop and go traffic back to Lockwood #traffic http://bit.ly/17hsIjn",2020-08-31 21:15:43+00:00,0,0,,#NorthSide #traffic,"fire department activity. right lane blocked in #northside on 610 wb at hirsch, stop and go traffic back to lockwood #traffic http://bit.ly/17hsijn",['right lane'],[],[],[],1.0
388,10041,KWKTFOX44,#BREAKING Temple Police officers are responding to a fatal accident at the intersection of Southeast HK Dodgen Loop and State Highway 95 https://bit.ly/2YTfPh8 #fox44tx,2020-08-31 21:13:28+00:00,0,0,,#BREAKING #fox44tx,#breaking temple police officers are responding to a fatal accident at the intersection of southeast hk dodgen loop and state highway 95 https://bit.ly/2ytfph8 #fox44tx,[],['highway 95'],[],[],1.0
390,10044,danawbrz,Right lane remains blocked on I-10 East just past Siegen Lane Congestion is about 2 miles in length ,2020-08-31 21:11:16+00:00,1,0,,,right lane remains blocked on i-10 east just past siegen lane congestion is about 2 miles in length ,"['right lane', 'siegen lane']",['i-10'],[],[],1.0
393,10050,OKDOT,GUTHRIE: NB I-35 is narrowed to one lane north of the SH-33 exit (mm 157) due to a crash. Motorists are advised to expect delays and congestion in the area. #trucking,2020-08-31 21:06:34+00:00,0,2,,#trucking,guthrie: nb i-35 is narrowed to one lane north of the sh-33 exit (mm 157) due to a crash. motorists are advised to expect delays and congestion in the area. #trucking,[],['i-35'],[],[],1.0
397,10063,TotalTrafficHOU,Accident. two right lanes blocked in #Heights on I-10 Katy Fwy Inbound at Studemont #traffic http://bit.ly/17hsIjn,2020-08-31 20:50:43+00:00,0,0,,#Heights #traffic,accident. two right lanes blocked in #heights on i-10 katy fwy inbound at studemont #traffic http://bit.ly/17hsijn,[],['i-10'],[],[],1.0
402,10074,TotalTrafficBTR,"Disabled vehicle, right lane blocked in #EastBatonRouge on I 10 EB after Siegen Lane/LA-3246/Exit 163 #traffic http://bit.ly/12oyfoo",2020-08-31 20:40:43+00:00,0,0,,#EastBatonRouge #traffic,"disabled vehicle, right lane blocked in #eastbatonrouge on i 10 eb after siegen lane/la-3246/exit 163 #traffic http://bit.ly/12oyfoo","['right lane', 'siegen lane']",[],['exit 163'],[],1.0
403,10075,TotalTrafficSAT,"Accident, right lane blocked in #NewBraunfels on I-35 (Northeast Side) NB at Solms Rd/Exit 183, stop and go traffic back to Engel Rd/Exit 182 #traffic http://bit.ly/17hwv06",2020-08-31 20:40:43+00:00,0,0,,#NewBraunfels #traffic,"accident, right lane blocked in #newbraunfels on i-35 (northeast side) nb at solms rd/exit 183, stop and go traffic back to engel rd/exit 182 #traffic http://bit.ly/17hwv06","['right lane', 'solms rd', 'engel rd']",['i-35'],"['exit 183', 'exit 182']",[],1.0
405,10083,BTRtraffic,RT BR_Traffic The right lane is blocked on I-10 East at Mile Marker 165 (past Siegen Lane) due to a stalled vehicle. Congestion has reached Siegen Lane.,2020-08-31 20:31:47+00:00,0,0,,,rt br_traffic the right lane is blocked on i-10 east at mile marker 165 (past siegen lane) due to a stalled vehicle. congestion has reached siegen lane.,"['right lane', 'siegen lane', 'siegen lane']",['i-10'],[],['mile marker 165'],1.0
406,10089,BR_Traffic,The right lane is blocked on I-10 East at Mile Marker 165 (past Siegen Lane) due to a stalled vehicle. Congestion has reached Siegen Lane.,2020-08-31 20:30:07+00:00,1,1,,,the right lane is blocked on i-10 east at mile marker 165 (past siegen lane) due to a stalled vehicle. congestion has reached siegen lane.,"['right lane', 'siegen lane', 'siegen lane']",['i-10'],[],['mile marker 165'],1.0
414,10157,TotalTrafficBTR,Accident cleared in #EastBatonRouge on I-12 EB between Oneal Ln/Hwy 3245/Exit 7 and Range Ave./Hwy 3002/Exit 10 #traffic http://bit.ly/12oyfoo,2020-08-31 19:15:43+00:00,0,0,,#EastBatonRouge #traffic,accident cleared in #eastbatonrouge on i-12 eb between oneal ln/hwy 3245/exit 7 and range ave./hwy 3002/exit 10 #traffic http://bit.ly/12oyfoo,[],"['i-12', 'hwy 3245']","['exit 7', 'exit 10']",[],1.0
415,10159,TotalTrafficBTR,Accident cleared in #EastBatonRougeParish on I 10 WB at Essen Ln/LA-3064/Exit 160 #traffic http://bit.ly/12oyfoo,2020-08-31 19:05:43+00:00,0,0,,#EastBatonRougeParish #traffic,accident cleared in #eastbatonrougeparish on i 10 wb at essen ln/la-3064/exit 160 #traffic http://bit.ly/12oyfoo,[],[],['exit 160'],[],1.0
416,10161,TotalTrafficHOU,Accident. two right lanes blocked in #Northside on I-610 N Lp WB after 69 Eastex Fwy #traffic http://bit.ly/17hsIjn,2020-08-31 19:00:43+00:00,0,0,,#Northside #traffic,accident. two right lanes blocked in #northside on i-610 n lp wb after 69 eastex fwy #traffic http://bit.ly/17hsijn,[],['i-610'],[],[],1.0
417,10165,TotalTrafficBTR,Accident in onramp in #EastBatonRougeParish on I 10 WB at Essen Ln/LA-3064/Exit 160 #traffic http://bit.ly/12oyfoo,2020-08-31 18:55:43+00:00,0,0,,#EastBatonRougeParish #traffic,accident in onramp in #eastbatonrougeparish on i 10 wb at essen ln/la-3064/exit 160 #traffic http://bit.ly/12oyfoo,[],[],['exit 160'],[],1.0
